GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jsgenerator,com.osscameroon.jsgenerator.exception,HTMLUnknownElementException,19,4,0,0,8,2,4,1,4,1
jsgenerator,com.osscameroon.jsgenerator.exception,DuplicatedHTMLFileNameException,23,0,0,0,10,0,5,0,5,0
jsgenerator,com.osscameroon.jsgenerator.exception,NoHTMLCodeException,23,0,0,0,10,0,5,0,5,0
jsgenerator,com.osscameroon.jsgenerator.exception,HTMLFileNotFoundException,23,0,0,0,10,0,5,0,5,0
jsgenerator,com.osscameroon.jsgenerator.exception,IncorrectHTMLFileNameException,23,0,0,0,10,0,5,0,5,0
jsgenerator,com.osscameroon.jsgenerator.exception,EmptyHTMLFilesListException,23,0,0,0,10,0,5,0,5,0
jsgenerator,com.osscameroon.jsgenerator.exception,NoHTMLFileNameException,23,0,0,0,10,0,5,0,5,0
jsgenerator,com.osscameroon.jsgenerator.util,Constants,37,0,0,0,6,0,3,0,3,0
jsgenerator,com.osscameroon.jsgenerator.util,FileUtil,9,41,0,2,5,12,1,3,1,2
jsgenerator,com.osscameroon.jsgenerator,JSGenerator,201,0,0,0,52,0,4,0,4,0
jsgenerator,com.osscameroon.jsgenerator.service,ConvertServiceImpl,151,336,19,27,35,68,15,21,4,9
jsgenerator,com.osscameroon.jsgenerator.model,JsVariableDeclaration,0,37,0,0,0,6,0,3,0,3
jsgenerator,com.osscameroon.jsgenerator.model,JsElement,0,15,0,0,0,6,0,3,0,3
